baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.22631602881	5.8255289607047	0.143002867805628	40.7371477935874	0	0
ENSMUSG00000025608.9	4401.66107588957	8.31228291038549	0.197504350848625	42.0865812559054	0	0
ENSMUSG00000045545.8	4088.29979250429	9.12444170481749	0.238755795051157	38.2166292669983	0	0
ENSMUSG00000047586.4	2408.96236911915	7.42299775004019	0.196905477390838	37.6982796436194	0	0
ENSMUSG00000054889.10	6835.30817812126	4.65300682719242	0.114963850255234	40.4736516466889	0	0
ENSMUSG00000097767.8	4106.77407374806	6.59502534482932	0.151459948473278	43.5430317473855	0	0
ENSMUSG00000020758.15	6336.69419572802	4.25982740214047	0.114955957113449	37.0561692417251	1.4286577033364e-300	4.10392129981261e-297
ENSMUSG00000030693.10	1240.47206579175	5.46811534736224	0.148339559580219	36.8621516932926	1.86814811460846e-297	4.69559028606836e-294
ENSMUSG00000053797.10	2357.50857283841	7.97909219370404	0.21749466270153	36.6863816086091	1.20415849808861e-294	2.6903576755073e-291
ENSMUSG00000024406.16	2300.56855437857	4.48196074948039	0.123018870232491	36.4331158383265	1.27340024329437e-290	2.56055320921632e-287
ENSMUSG00000037820.15	3906.53527277478	4.02391077361577	0.110666140196243	36.3608124985673	1.77306765897947e-289	3.24116768061447e-286
ENSMUSG00000047281.3	1063.70823537809	5.25836522816235	0.149605942214057	35.148104081579	1.24258636074276e-270	2.08216054515128e-267
ENSMUSG00000056602.12	1176.49468242755	5.38984193922967	0.153522288082695	35.1078791655739	5.11081428171611e-270	7.90525027513443e-267
ENSMUSG00000027375.14	3835.54485991725	5.7619431103581	0.164580381446697	35.0099025151685	1.59031379341455e-268	2.28414498271284e-265
ENSMUSG00000037185.9	1422.68171410608	4.99084032731207	0.143872086301641	34.6894276409416	1.13726792099913e-263	1.52454555703003e-260
ENSMUSG00000026413.12	1670.21813735503	5.50793998193582	0.162349081465591	33.926523835019	2.70764234112809e-252	3.40282951221272e-249
ENSMUSG00000031995.9	1272.07779943817	6.00951005545411	0.180166613891413	33.3552922245409	6.10494069813741e-244	7.22106750342041e-241
ENSMUSG00000019102.10	4252.13080423328	3.75659110398424	0.117383022100642	32.0028487660115	9.95316968181798e-225	1.11187964423331e-221
ENSMUSG00000034282.3	1267.19137061125	6.84030045620683	0.216712040504646	31.5640074279131	1.15195186599022e-218	1.21912884849112e-215
ENSMUSG00000074796.10	890.962147770756	4.27569073332421	0.135830909289629	31.4780395396401	1.73566455479137e-217	1.74503714338724e-214
ENSMUSG00000028435.8	1000.60191451766	6.25344077420934	0.200051634733663	31.2591335858605	1.67760951786284e-214	1.60635105643742e-211
ENSMUSG00000042793.13	993.596483876577	4.19102824021365	0.135045499387517	31.0341940991855	1.86439449829838e-211	1.70405657144472e-208
ENSMUSG00000049382.10	5899.38440276072	10.8668288278099	0.354156178987256	30.6837194225571	9.38593746081155e-207	8.20575784617385e-204
ENSMUSG00000063450.14	2006.16488735426	3.45582249755264	0.11362063714809	30.4154472664013	3.43232421457259e-203	2.87571563777607e-200
ENSMUSG00000022871.13	1099.8210296869	6.65650978831065	0.221665749510037	30.0294917145476	4.0454181312683e-198	3.25381071134172e-195
ENSMUSG00000020788.15	2105.01080621481	8.81864108917769	0.298917866755044	29.5018868725045	2.72289867078718e-191	2.10584794123802e-188
ENSMUSG00000025432.11	1237.63464000221	6.45493176086067	0.218892632693021	29.4890315925488	3.98008919387535e-191	2.96413457446094e-188
ENSMUSG00000061126.5	1586.36311788539	8.1286056146101	0.276570517971704	29.3907162420028	7.21702293465307e-190	5.18285347035728e-187
ENSMUSG00000003153.10	1022.21678895265	4.75302743672978	0.169207924922107	28.0898630422764	1.30285072807116e-173	9.03369739312234e-171
ENSMUSG00000060716.7	840.095139931726	6.73486923444863	0.239870384077451	28.0771186503542	1.86435361412816e-173	1.24961408242964e-170
ENSMUSG00000040703.11	1371.20061576237	7.27379657590179	0.260997089642432	27.8692631625393	6.29362456955053e-171	4.08232912401684e-168
ENSMUSG00000048699.4	2458.70198351876	9.60292861636579	0.347625868270728	27.6243211247073	5.67995160106005e-168	3.56913958731611e-165
ENSMUSG00000038295.14	631.285065322775	5.23887179333704	0.191095557568986	27.4149324033647	1.82043534260612e-165	1.109251935428e-162
ENSMUSG00000012350.15	1200.71716412298	7.68151032064661	0.28276685716169	27.1655256834227	1.65997349693719e-162	9.81727855188616e-160
ENSMUSG00000024421.16	651.442758902235	5.80225342010323	0.215272133027485	26.9531097151456	5.24508461961588e-160	3.0133760437496e-157
ENSMUSG00000048373.8	879.028716907514	7.22967656297179	0.279659289429355	25.8517304314259	2.32650205876691e-147	1.2994806499357e-144
ENSMUSG00000024331.11	731.917226833879	5.56462696759372	0.220052306056034	25.2877466604542	4.35691175563698e-141	2.36780490763104e-138
ENSMUSG00000031297.14	803.324639833221	3.90830445387241	0.154643831303713	25.2729411895952	6.33845293221472e-141	3.35404240949931e-138
ENSMUSG00000043439.5	659.526663859316	5.17602347387692	0.205084330040279	25.2385127272295	1.51425629956227e-140	7.80735017220464e-138
ENSMUSG00000018166.8	696.980616144935	6.81093368430853	0.270552133359807	25.1742006234734	7.67940222853365e-140	3.86043550028387e-137
ENSMUSG00000074227.12	750.578515745838	3.91036491034066	0.156137635151566	25.0443456924705	2.01192059129027e-138	9.8672437194304e-136
ENSMUSG00000115388.2	609.418326642107	6.5024966870487	0.260722281197348	24.940318323338	2.7197511664655e-137	1.30211324893543e-134
ENSMUSG00000020911.14	1699.52101122176	3.62481566738215	0.145373752653595	24.93445757034	3.14850121002087e-137	1.47232703095581e-134
ENSMUSG00000018849.6	1056.25064161841	3.63311960620612	0.146177962774633	24.8540856449574	2.33581339119701e-136	1.06746671977703e-133
ENSMUSG00000074272.10	525.088709521609	4.94689481246923	0.199685454707801	24.7734359005166	1.73366607070009e-135	7.74679052214164e-133
ENSMUSG00000022123.9	552.670932932523	4.73712633698193	0.194187062594594	24.3946546885653	1.9488310154093e-131	8.33767958677662e-129
ENSMUSG00000022218.16	1164.84011584487	8.52448662761925	0.349433009281084	24.3951956489667	1.92323934610075e-131	8.33767958677662e-129
ENSMUSG00000030494.13	525.776954463157	5.7675022848859	0.236654547384162	24.3709759589935	3.47485130365196e-131	1.4556731252882e-128
ENSMUSG00000026479.13	663.22244591254	3.25900811788004	0.135238705649099	24.0981906935439	2.61130943722135e-128	1.07159612578871e-125
ENSMUSG00000035557.9	5638.94839930443	11.8801856666861	0.493675813113003	24.064751302626	5.85037267557853e-128	2.35278587521066e-125
ENSMUSG00000019866.15	1632.58282696157	2.94416177839714	0.122678115704736	23.9990789024117	2.84304924264626e-127	1.12094184649277e-124
ENSMUSG00000038807.19	1117.18649454612	2.96429917702462	0.124614574180629	23.787740691774	4.47323481636815e-125	1.72976549399098e-122
ENSMUSG00000026639.18	426.218051032084	4.30170167486742	0.181534530282042	23.6963274600379	3.93416838722527e-124	1.49260864019482e-121
ENSMUSG00000029019.8	418.751966922948	5.45657300253482	0.230894734088615	23.6322973067053	1.79506309446162e-123	6.68428309322856e-121
ENSMUSG00000056413.16	486.367115126352	5.93782193616672	0.254390103965484	23.3414030011654	1.68508653888924e-120	6.16067638617906e-118
ENSMUSG00000015468.14	463.305037212559	5.99864939742014	0.25864045505285	23.1930051166759	5.35692623312606e-119	1.92351915528034e-116
ENSMUSG00000005968.14	900.30355604381	2.82740756453877	0.122169211657911	23.1433724272189	1.6952651201863e-118	5.98041948012389e-116
ENSMUSG00000063011.7	8462.68360261364	1.94803570909608	0.0841986979047529	23.1361738075776	2.003155142171e-118	6.94473165496112e-116
ENSMUSG00000046410.10	439.962291920596	4.26479287640207	0.185019377036051	23.0505201386073	1.45333883623246e-117	4.95317581677326e-115
ENSMUSG00000041607.17	437.950546867432	5.01677013956711	0.219178468900363	22.8889733774338	5.98330623052601e-116	2.00520536139028e-113
ENSMUSG00000024479.3	745.902810451162	7.47907090168041	0.330492589756951	22.6300713948855	2.19248509533231e-113	7.22729349130199e-111
ENSMUSG00000018920.11	363.46704244677	3.70241790555855	0.16396052701105	22.5811539707299	6.63925364805065e-113	2.15325987669359e-110
ENSMUSG00000021118.7	399.461875613412	5.28709037898268	0.235188526795448	22.480222360426	6.48139242734844e-112	2.06869585601782e-109
ENSMUSG00000030513.14	1227.63813208705	2.47355496879779	0.110100020885735	22.4664350551297	8.84093908726103e-112	2.77771254947883e-109
ENSMUSG00000042377.8	350.22973300309	4.34396643292796	0.193536519783789	22.4452027854013	1.4255216452564e-111	4.40990603735627e-109
ENSMUSG00000020435.17	376.581732500642	4.64757203362756	0.207621240028913	22.3848582783743	5.52809524599522e-111	1.68422635161321e-108
ENSMUSG00000084128.10	455.503537953501	4.29450783659774	0.192031002988683	22.3636171751434	8.89992108010729e-111	2.67103900117608e-108
ENSMUSG00000002799.6	445.821716188367	4.57608791972414	0.207286827839015	22.0761153394565	5.36248082097476e-108	1.58571712276706e-105
ENSMUSG00000026380.10	349.703760453515	4.88235228246192	0.221708860461369	22.0214576553318	1.79399696465161e-107	5.22807115437892e-105
ENSMUSG00000044017.16	438.263836649065	6.25975577689964	0.286324169472992	21.8624777238377	5.91451330137422e-106	1.69898619234332e-103
ENSMUSG00000068876.16	633.892989227572	7.56671765100049	0.346691346197128	21.8255163678013	1.32829067980916e-105	3.76186887177502e-103
ENSMUSG00000025813.14	498.501923155013	3.09680762300191	0.142030406343418	21.8038355499321	2.13366820194167e-105	5.95886113953377e-103
ENSMUSG00000024011.17	380.260871919874	5.167435743094	0.23708122260796	21.7960565845357	2.52888636310803e-105	6.96586945059948e-103
ENSMUSG00000037411.10	7312.6067784615	-2.11269652116919	0.0969609089034396	-21.7891575590856	2.94009543297218e-105	7.98911337381143e-103
ENSMUSG00000038732.15	746.6040777827	2.98814255411868	0.138107919236072	21.6362868302357	8.18339984667393e-104	2.19402405489226e-101
ENSMUSG00000026110.15	400.937200684607	3.48235300576203	0.161202496449891	21.6023515916486	1.70700842995964e-103	4.51638493547742e-101
ENSMUSG00000056724.15	627.342340010141	3.20054576453189	0.148594291058114	21.5388205141757	6.7401197804328e-103	1.76013413694731e-100
ENSMUSG00000044041.4	962.33315515624	8.68925069769142	0.404122363844768	21.5015338795483	1.50626461499002e-102	3.88307293310503e-100
ENSMUSG00000063727.3	1654.60770370465	-2.421582288589	0.112930984545665	-21.443028220566	5.3047136250872e-102	1.35021748826903e-99
ENSMUSG00000033987.16	751.910133581667	4.69047558417044	0.219325570000361	21.3859039972526	1.80751230916752e-101	4.54318218909256e-99
ENSMUSG00000003526.12	343.81176287463	4.92315071862488	0.230673469790756	21.3425094922736	4.57708821621141e-101	1.136248022859e-98
ENSMUSG00000033644.5	531.946362248031	7.24116702337641	0.341590929970381	21.1983585864071	9.88855200713574e-100	2.42486589950592e-97
ENSMUSG00000022665.15	15843.651590561	-1.66576457001063	0.0786938580737097	-21.1676566734137	1.89760860698902e-99	4.59724263485967e-97
ENSMUSG00000003279.17	465.761974381565	6.63010260912508	0.313340855308764	21.1593939851598	2.26109853956827e-99	5.41263921829032e-97
ENSMUSG00000044646.15	626.11455140404	3.28206126604464	0.156079286320778	21.0281667952995	3.62384893566652e-98	8.57274757628028e-96
ENSMUSG00000022055.7	421.84201297395	5.5758818873865	0.265462129932268	21.0044343756647	5.97407067391132e-98	1.39682108268615e-95
ENSMUSG00000023043.7	431.345766814826	6.15232321615321	0.293865507816391	20.9358466798942	2.52538392524097e-97	5.83682988146499e-95
ENSMUSG00000041439.15	887.368570989517	2.8497147487172	0.136151162450668	20.930520881522	2.82393778233422e-97	6.4526978326337e-95
ENSMUSG00000000308.14	361.174706277104	6.06343212185089	0.292393974071643	20.7371993253363	1.59972757797636e-95	3.61430585819647e-93
ENSMUSG00000016028.11	379.498782282153	6.33171670538606	0.305616178943024	20.7178714401978	2.39020935144491e-95	5.34025884876159e-93
ENSMUSG00000057963.9	694.720489292436	3.18856275427723	0.154413295922192	20.6495349719362	9.85639811680379e-95	2.17793904761198e-92
ENSMUSG00000017861.11	452.354450551534	3.31914262435237	0.16108095157397	20.605432187481	2.45320000042088e-94	5.36184191396338e-92
ENSMUSG00000029832.16	323.813998291853	4.90322150336722	0.238212441016462	20.5833980897261	3.86606645851029e-94	8.35901767179837e-92
ENSMUSG00000021678.9	343.249912800094	4.20986131911243	0.20470747817464	20.5652541697618	5.62046416125917e-94	1.20230099313404e-91
ENSMUSG00000028179.12	527.644874319191	3.04541441185466	0.14834786344458	20.5288727531446	1.18901208639248e-93	2.51670052980841e-91
ENSMUSG00000024812.11	1849.15329670854	2.0501722968947	0.0998703332217013	20.5283414078888	1.20208352562216e-93	2.51786411804275e-91
ENSMUSG00000030353.15	644.884112636381	2.66392348551293	0.129791142656873	20.5246939889843	1.29576595410385e-93	2.68610946444539e-91
ENSMUSG00000025582.4	424.894564956199	3.10595300892674	0.151465016108019	20.5060751897435	1.90023413678794e-93	3.8989702063808e-91
ENSMUSG00000030093.7	368.91491706155	6.51658275942075	0.319227009542779	20.4136321947015	1.26523655579075e-92	2.56983602665055e-90
ENSMUSG00000041362.17	459.456982774031	3.38085333331899	0.165669761203842	20.4071842003752	1.44365734952261e-92	2.90290619842006e-90
ENSMUSG00000071847.13	976.17308289829	2.16976670712858	0.107313999014196	20.2188598604134	6.68093447163506e-91	1.33010129064988e-88
