	clust	group
W160351	2	mTEC-IV
W160352	32	mTEC-III
W160353	35	mTEC-II
W160357	34	mTEC-II
W160358	3	mTEC-IV
W160359	32	mTEC-III
W160368	3	mTEC-IV
W160375	13	mTEC-I
W160378	22	mTEC-III
W160393	3	mTEC-IV
W160404	6	mTEC-I
W160406	22	mTEC-III
W160414	19	mTEC-I
W160418	2	mTEC-IV
W160430	35	mTEC-II
W160434	3	mTEC-IV
W160448	15	mTEC-I
W160452	2	mTEC-IV
W160456	19	mTEC-I
W160465	3	mTEC-IV
W160468	35	mTEC-II
W160470	2	mTEC-IV
W160487	23	mTEC-III
W160495	3	mTEC-IV
W160506	24	mTEC-III
W160513	35	mTEC-II
W160516	34	mTEC-II
W160521	20	mTEC-I
W160527	15	mTEC-I
W160528	29	mTEC-II
W159955	35	mTEC-II
W159957	3	mTEC-IV
W159961	29	mTEC-II
W159963	1	mTEC-IV
W159967	2	mTEC-IV
W159968	6	mTEC-I
W159969	23	mTEC-III
W159970	27	mTEC-II
W159972	35	mTEC-II
W159978	1	mTEC-IV
W159980	27	mTEC-II
W159984	1	mTEC-IV
W159988	36	mTEC-II
W159997	3	mTEC-IV
W160043	33	mTEC-III
W160053	23	mTEC-III
W160054	23	mTEC-III
W160057	6	mTEC-I
W160065	2	mTEC-IV
W160075	27	mTEC-II
W160081	27	mTEC-II
W160093	13	mTEC-I
W160100	16	mTEC-I
W160105	27	mTEC-II
W160107	13	mTEC-I
W160111	19	mTEC-I
W160117	17	mTEC-I
W160118	2	mTEC-IV
W160127	3	mTEC-IV
W159762	25	mTEC-II
W159766	23	mTEC-III
W159773	24	mTEC-III
W159776	1	mTEC-IV
W159788	3	mTEC-IV
W159793	19	mTEC-I
W159806	22	mTEC-III
W159818	13	mTEC-I
W159819	35	mTEC-II
W159823	33	mTEC-III
W159824	24	mTEC-III
W159827	30	mTEC-II
W159829	19	mTEC-I
W159835	23	mTEC-III
W159837	12	mTEC-I
W159844	6	mTEC-I
W159846	12	mTEC-I
W159847	34	mTEC-II
W159855	1	mTEC-IV
W159862	2	mTEC-IV
W159863	4	cTEC
W159869	26	mTEC-II
W159871	20	mTEC-I
W159872	30	mTEC-II
W159884	35	mTEC-II
W159894	13	mTEC-I
W159896	23	mTEC-III
W159900	15	mTEC-I
W159905	35	mTEC-II
W159922	3	mTEC-IV
W159923	3	mTEC-IV
W159925	13	mTEC-I
W159929	17	mTEC-I
W159933	24	mTEC-III
W159935	23	mTEC-III
W159944	3	mTEC-IV
W159945	13	mTEC-I
