State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.14080	1.14215	1.14053	1.13904	1.13769	1.13418	1.13499	1.13039	1.13391	1.14201	1.15958	1.16661	1.17877	1.18607	1.19188	1.20066	1.20512	1.21647	1.22742	1.23553	1.24336
2	0.40206	0.40181	0.40200	0.40340	0.40448	0.40544	0.40665	0.40824	0.40951	0.41053	0.41250	0.41429	0.41550	0.41671	0.41830	0.42002	0.42148	0.42365	0.42518	0.42639	0.42785
3	2.29723	2.31218	2.33557	2.34976	2.36510	2.37469	2.38964	2.40114	2.42875	2.46019	2.49509	2.50276	2.52461	2.53995	2.54570	2.56526	2.55030	2.54570	2.54110	2.52116	2.49355
4	5.04161	5.01271	4.99206	4.99206	4.89572	4.82552	4.73468	4.63559	4.48281	4.32866	4.15386	3.97493	3.81940	3.64873	3.51247	3.34318	3.24271	3.10232	2.99221	2.89311	2.77474
5	1.02118	1.01951	1.00450	0.95444	0.92607	0.88770	0.90271	0.89771	0.90939	0.89604	0.89103	0.83931	0.80927	0.77089	0.74253	0.72751	0.67578	0.67245	0.72250	0.75921	0.76756
6	2.24520	2.22456	2.19875	2.24520	2.09552	2.27101	2.26069	2.21940	2.29682	2.26585	2.18327	2.16262	2.03359	2.06455	1.88907	1.84778	1.93552	1.99746	2.00262	2.08520	2.20907
7	2.37085	2.40432	2.40432	2.35411	2.47126	2.55493	2.69161	2.73066	2.67766	2.73623	2.78086	2.89522	2.92590	2.95658	3.09047	3.05142	3.18251	3.08768	3.10441	3.09604	3.32755
8	1.72385	1.60072	1.69793	1.74978	1.87939	1.93772	1.98956	2.12565	2.33304	2.26175	1.83403	2.08029	2.14510	2.17750	2.31359	2.32007	2.30711	2.24879	2.21638	2.43673	2.20990
9	1.08477	1.16272	1.14539	1.19519	1.22118	1.27964	1.25798	1.32078	1.29912	1.31428	1.22984	1.15622	1.10859	1.14972	1.16055	1.12374	1.15189	1.15622	1.12374	1.15622	1.18437
10	3.04794	2.90326	2.74893	2.52709	2.57532	2.64284	2.33418	2.40170	2.30525	2.33418	2.33418	2.46922	2.40170	2.36312	2.41135	2.65248	2.40170	2.28596	2.31489	2.34383	2.24737
11	3.17056	3.08712	3.24565	3.23731	2.98700	2.93694	3.12884	3.19559	3.23731	3.01203	3.06209	3.22896	3.29571	3.30406	3.00369	2.94528	3.02037	3.18725	3.22896	3.05375	3.29571
12	4.90229	4.76628	4.57114	4.47652	4.59479	4.35234	4.09806	3.99753	3.83786	3.69003	3.55402	3.47123	3.41209	3.38844	3.53036	3.58358	3.75507	3.86743	3.64272	3.51853	3.32930
