State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.62924	1.59596	1.54671	1.46990	1.37223	1.24998	1.12130	0.99977	0.91212	0.86024	0.84115	0.84557	0.89041	0.94527	1.00419	1.06072	1.10389	1.13776	1.16233	1.17855	1.18964
2	0.32972	0.32730	0.32505	0.32297	0.31977	0.31488	0.31022	0.30274	0.29825	0.29487	0.29122	0.29021	0.29190	0.29650	0.30156	0.30628	0.30999	0.31348	0.31646	0.31842	0.32011
3	1.04061	0.98681	0.91878	0.83892	0.77564	0.70220	0.62809	0.57124	0.52826	0.51506	0.50288	0.50660	0.52251	0.54789	0.58410	0.64670	0.73131	0.82911	0.93469	1.04332	1.15229
4	0.79442	0.71789	0.64379	0.61100	0.56119	0.53690	0.53083	0.51504	0.51139	0.52232	0.54054	0.57456	0.59278	0.59278	0.60128	0.60007	0.64258	0.74462	0.88066	1.02886	1.17462
5	1.70088	1.51827	1.24289	0.98813	0.78196	0.60083	0.52131	0.50953	0.49775	0.47566	0.47418	0.46240	0.47713	0.52278	0.55371	0.75398	1.29443	2.07492	2.95555	3.70364	4.36779
6	6.02194	5.95817	5.78052	5.07447	3.90379	2.79232	1.88584	1.35289	1.12513	1.19346	1.21168	1.17068	1.28000	1.63986	2.87432	6.29070	10.77299	14.13927	15.56959	16.14354	15.76546
7	3.43644	3.49798	3.69245	3.58660	3.28874	2.88503	2.42963	1.98900	1.70099	1.54590	1.36128	1.30959	1.35636	1.46221	1.69360	2.09731	2.57241	2.78903	2.94411	2.95396	2.97365
8	4.04940	4.44977	4.56416	5.01028	5.38205	5.82817	6.07982	5.85676	4.06656	2.93410	2.52802	2.33355	2.08190	2.03042	2.37931	2.29924	2.08190	2.06474	2.08762	2.07618	2.00182
9	3.73581	3.95938	4.28424	4.68170	5.11166	5.31612	4.89573	3.90970	2.66188	2.03320	1.75803	1.56694	1.50579	1.59942	1.57840	1.56885	1.54783	1.48859	1.36247	1.34145	1.27457
10	4.39246	4.79255	5.83108	7.91665	10.83644	15.16081	19.31492	22.30281	24.55012	34.62044	40.71540	22.84762	20.09807	18.02953	15.95247	12.83689	9.54254	6.75043	5.13305	3.77105	3.19220
11	4.53599	5.35335	6.52416	8.47552	11.64188	16.65650	26.18502	40.32316	55.53639	58.25356	51.78831	47.70886	34.61636	22.51057	14.21178	9.04252	6.16335	4.52126	3.34308	2.76872	2.37108
12	7.72406	9.35237	11.39298	14.10162	17.01902	19.65981	20.79754	20.38524	19.11182	16.83113	20.45831	34.89916	43.54175	49.16257	50.39946	46.72010	39.25699	31.47553	24.97271	19.74853	15.72472
