State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	25.87535	1.03618	1.04669	0.97053	1.15970	0.84118	1.22434	0.81864
2	54.91126	0.18012	0.37016	0.72723	0.41255	0.29123	0.33683	1.30648
3	9.11893	0.73442	2.40647	1.94879	2.49497	0.50289	0.78029	0.39195
4	2.54048	0.69081	5.40835	2.21100	4.15292	0.54056	0.72183	0.24448
5	2.09554	0.35453	1.00328	2.18673	0.89113	0.47420	1.16443	0.24469
6	0.67746	0.55627	1.94956	2.15576	2.17833	1.21171	5.02782	0.21345
7	1.25362	0.60488	2.10724	1.42355	2.78115	1.36132	2.43166	0.36482
8	0.53955	0.73556	1.71265	0.99279	1.83422	2.52809	3.41816	0.43676
9	1.61492	1.04087	1.11746	0.73494	1.22997	1.75808	2.81492	0.67034
10	0.36252	37.83034	4.81492	1.02813	2.33443	40.71666	14.25036	0.52928
11	0.41908	49.32620	6.83329	1.08774	3.06241	51.78990	18.72512	0.30066
12	0.59130	27.91238	5.92547	2.00850	3.55439	20.45372	21.26949	0.22102
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
