State (Emission order)	H3k27me3	H2az	H3k4me2	H3k4me3	H3k9ac	H3k27ac	H3k4me1	H3k9me1	H3k36me3	H3k79me2
1	0.03111737595667356	0.007848587692551558	3.1512576492816804E-4	9.90787868996942E-4	3.064083339736015E-4	0.003479316930244739	0.003219971409511972	0.02343115016266229	8.483463950292099E-4	7.715329522631622E-5
2	0.0010687376157921865	4.877218191300423E-4	1.0157930073797288E-4	4.170988220390183E-4	8.336413662329698E-5	6.335184725707614E-4	3.9678550922506763E-4	0.005432362316370688	4.5377170676269666E-4	3.336206247154454E-5
3	1.866007721898455E-4	5.283775493454615E-4	3.377520505034036E-5	5.673859031631965E-4	6.216357686134295E-4	0.0025617978754226864	0.0035840055155389244	0.02112403630468859	0.036587313306634256	0.010143652371924593
4	5.397101071608791E-4	2.924056458056972E-4	7.499868461297409E-4	0.0012087140986316474	0.0015714873419124483	0.019314593078304364	0.007920157491639655	0.060532870824357085	0.395423688254577	0.025988645789741166
5	3.107982269601344E-4	6.517767883548816E-4	2.9848789162566165E-4	0.0015864431233723081	0.0023310921432608592	0.006722650897612669	0.05374876103945484	0.047474428234874064	0.1345409449694817	0.6745981088611372
6	5.879750765188188E-4	0.029932610115568012	0.21354147285415995	0.11350178178068485	0.15390299427988766	0.25249681000468954	0.7216848466931399	0.18390609979277972	0.29591946028786587	0.925169498014589
7	0.003068533117364639	0.039528831754010216	0.019465516675581773	0.016860340666491256	0.018870184437173105	0.11078896291029208	0.6342076315827595	0.08905298560447764	0.06899346125279361	0.026892919572055272
8	0.0021675310177217133	0.7587991097069487	0.38796703230017515	0.2317717378305569	0.3849532384742418	0.6892739954138397	0.9462373306883088	0.11426454627142134	0.05028952636732145	0.03366345015086174
9	0.004645553472642149	0.5178351478910764	0.011826903754742662	0.01290674224595285	0.009615388840216038	0.019199412999887904	0.2834564062363488	0.03366655273981646	0.003410798313206557	6.222940982576634E-4
10	0.029158174981220406	0.5327073236066755	0.6344634227044598	0.4675443590365287	0.23259301216778075	0.09826551781983324	0.2506097413955814	0.044916755840428375	0.010548420057378194	0.030396327827278316
11	4.405455232413074E-4	0.9008208013760403	0.9915484205460942	0.9455204634140199	0.9721082380419587	0.8431380469710252	0.40155190616336384	0.03768107041305631	0.006810458344236493	0.14257845860891125
12	3.409940959672766E-4	0.43649507635402285	0.97312671502613	0.9341987492300045	0.9508644794962816	0.789578404084188	0.36573190132243316	0.06107698304599546	0.12560949387839102	0.9759938702204807
