12	10	E	-7107116.832617255	200
probinit	1	1.9883559983182063E-25
probinit	2	1.0
probinit	3	1.572032257370344E-290
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	6.5643670731878774E-223
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
transitionprobs	1	1	0.9759531127021327
transitionprobs	1	2	0.002252569338376043
transitionprobs	1	3	0.0
transitionprobs	1	4	3.574443560833438E-5
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.003314048226064002
transitionprobs	1	8	9.930115221420277E-6
transitionprobs	1	9	0.0167137688369551
transitionprobs	1	10	0.0017208263456424638
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	2	1	0.0010718506121929977
transitionprobs	2	2	0.9983137896057019
transitionprobs	2	3	2.4134270704213498E-4
transitionprobs	2	4	0.0
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	6.878112160044292E-5
transitionprobs	2	8	0.0
transitionprobs	2	9	6.407365876998281E-5
transitionprobs	2	10	2.396600571295402E-4
transitionprobs	2	11	0.0
transitionprobs	2	12	5.02237563053382E-7
transitionprobs	3	1	0.0
transitionprobs	3	2	0.0014377697484845894
transitionprobs	3	3	0.9571593091150534
transitionprobs	3	4	0.01580763855348874
transitionprobs	3	5	0.0063051629442132705
transitionprobs	3	6	3.68617718323438E-4
transitionprobs	3	7	0.017835241193978314
transitionprobs	3	8	2.2741129599982622E-4
transitionprobs	3	9	0.0
transitionprobs	3	10	6.531798834143358E-4
transitionprobs	3	11	1.0843293837736848E-4
transitionprobs	3	12	9.723660866655855E-5
transitionprobs	4	1	4.7953312041258965E-4
transitionprobs	4	2	0.0
transitionprobs	4	3	0.04961163571030799
transitionprobs	4	4	0.9403834837651504
transitionprobs	4	5	0.004369048459912757
transitionprobs	4	6	0.0021287033809895147
transitionprobs	4	7	0.0030248250590683284
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	2.770504158485785E-6
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	0.031477889130650395
transitionprobs	5	4	0.0
transitionprobs	5	5	0.9097870633280039
transitionprobs	5	6	0.0568088240670336
transitionprobs	5	7	2.6266507890081344E-6
transitionprobs	5	8	0.0
transitionprobs	5	9	1.4078623621569672E-5
transitionprobs	5	10	2.28938775118921E-4
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0016805794247827435
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0035862177668595555
transitionprobs	6	4	0.014897515301185247
transitionprobs	6	5	0.16440487923031208
transitionprobs	6	6	0.7200554382177925
transitionprobs	6	7	0.02028191593374139
transitionprobs	6	8	0.0022195636029126854
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0013345177794957751
transitionprobs	6	11	0.0
transitionprobs	6	12	0.07321995216770079
transitionprobs	7	1	0.0631034236627921
transitionprobs	7	2	0.0030361943066554258
transitionprobs	7	3	0.1170636544987287
transitionprobs	7	4	0.005565467201555027
transitionprobs	7	5	1.7847280725054313E-4
transitionprobs	7	6	0.010461053145106486
transitionprobs	7	7	0.730474898575488
transitionprobs	7	8	0.061407916390635905
transitionprobs	7	9	6.563261929550492E-4
transitionprobs	7	10	0.005175287372148875
transitionprobs	7	11	0.0017549126147474085
transitionprobs	7	12	0.0011223932319364722
transitionprobs	8	1	1.0827036513495599E-7
transitionprobs	8	2	0.0
transitionprobs	8	3	0.0034291924245651037
transitionprobs	8	4	0.0
transitionprobs	8	5	0.0
transitionprobs	8	6	0.0032197090613023077
transitionprobs	8	7	0.1485001152795771
transitionprobs	8	8	0.6338523227479127
transitionprobs	8	9	0.15397741399581533
transitionprobs	8	10	0.0012801448074461507
transitionprobs	8	11	0.055740993413016214
transitionprobs	8	12	0.0
transitionprobs	9	1	0.22307067487700377
transitionprobs	9	2	0.0021219177005847157
transitionprobs	9	3	0.0
transitionprobs	9	4	9.327309921879058E-6
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	9.160987270175439E-4
